case_id,kind,tier,terminal_step,selected_factors,scenario_path
TC001,happy,smoke_sandbox,-,F001.provider_owner_reviewer;F002.valid;F010.success;F020.success;F030.success;F040.approve;F050.apigw_success_cognito_success;F060.valid_token_valid_api_key,cases/TC001_happy_approve_and_runtime_success.gen.md
TC002,branch,smoke_sandbox,reject_api_access_request,F001.provider_owner_reviewer;F002.valid;F010.success;F020.success;F030.success;F040.reject,cases/TC002_reject_request_and_no_subscription.gen.md
TC003,negative,sandbox,approve_api_access_request,F001.non_reviewer;F002.valid;F010.success;F020.success;F030.success;F040.approve,cases/TC003_approve_by_non_reviewer_is_403.gen.md
TC004,negative,sandbox,post_api_access_requests,F001.provider_owner_reviewer;F002.valid;F010.success;F020.success;F030.duplicate_pending,cases/TC004_duplicate_access_request_is_409.gen.md
TC005,negative,sandbox,approve_api_access_request,F001.provider_owner_reviewer;F002.valid;F010.success;F020.success;F030.success;F040.approve;F050.apigw_success_cognito_failed,cases/TC005_approve_cognito_update_failed_is_retryable.gen.md
